lineage,1.0,1.0.2,1.0.3,1.0.5,1.0.6,1.0.7,1.0.8,1.0.9,1.0.10,1.0.11,1.0.12
B.1.1.178,2add08|A_1,d03608|A_1,314ac8|A_1,,,,,,,,
B.1.1.181,2add08|A_1,d03608|A_1,314ac8|A_1,e9bec7|A_1,baabaf|A_1,baabaf|A_1,baabaf|A_1,baabaf|A_1,65ec24|A_1,65ec24|A_1,65ec24|A_1
B.1.1.182,2add08|A_1,d03608|A_1,314ac8|A_1,e9bec7|A_1,baabaf|A_1,baabaf|A_1,baabaf|A_1,baabaf|A_1,65ec24|A_1,65ec24|A_1,65ec24|A_1
B.1.1.184,2add08|A_1,d03608|A_1,314ac8|A_1,e9bec7|A_1,baabaf|A_1,baabaf|A_1,baabaf|A_1,baabaf|A_1,65ec24|A_1,65ec24|A_1,65ec24|A_1
B.1.1.185,2add08|A_1,d03608|A_1,314ac8|A_1,e9bec7|A_1,baabaf|A_1,baabaf|A_1,baabaf|A_1,baabaf|A_1,65ec24|A_1,65ec24|A_1,65ec24|A_1
B.1.1.187,2add08|A_1,d03608|A_1,314ac8|A_1,e9bec7|A_1,baabaf|A_1,baabaf|A_1,baabaf|A_1,baabaf|A_1,65ec24|A_1,65ec24|A_1,65ec24|A_1
B.1.1.189,2add08|A_1,d03608|A_1,314ac8|A_1,e9bec7|A_1,baabaf|A_1,baabaf|A_1,baabaf|A_1,baabaf|A_1,65ec24|A_1,65ec24|A_1,65ec24|A_1
B.1.1.190,2add08|A_1,d03608|A_1,314ac8|A_1,,,,,,,,
B.1.1.192,2add08|A_1,d03608|A_1,314ac8|A_1,e9bec7|A_1,baabaf|A_1,baabaf|A_1,baabaf|A_1,baabaf|A_1,65ec24|A_1,65ec24|A_1,65ec24|A_1
B.1.1.197,2add08|A_1,d03608|A_1,314ac8|A_1,,,,,,,,
B.1.1.198,2add08|A_1,d03608|A_1,314ac8|A_1,e9bec7|A_1,baabaf|A_1,baabaf|A_1,baabaf|A_1,baabaf|A_1,65ec24|A_1,65ec24|A_1,65ec24|A_1
B.1.1.200,2add08|A_1,d03608|A_1,314ac8|A_1,e9bec7|A_1,baabaf|A_1,baabaf|A_1,baabaf|A_1,baabaf|A_1,65ec24|A_1,65ec24|A_1,65ec24|A_1
B.1.1.201,2add08|A_1,d03608|A_1,314ac8|A_1,e9bec7|A_1,baabaf|A_1,baabaf|A_1,baabaf|A_1,baabaf|A_1,65ec24|A_1,65ec24|A_1,65ec24|A_1
B.1.1.204,2add08|A_1,d03608|A_1,314ac8|A_1,e9bec7|A_1,baabaf|A_1,baabaf|A_1,baabaf|A_1,baabaf|A_1,65ec24|A_1,65ec24|A_1,65ec24|A_1
B.1.1.205,2add08|A_1,d03608|A_1,314ac8|A_1,e9bec7|A_1,baabaf|A_1,baabaf|A_1,baabaf|A_1,baabaf|A_1,65ec24|A_1,65ec24|A_1,65ec24|A_1
B.1.1.208,2add08|A_1,d03608|A_1,314ac8|A_1,084e6e|B.1.1.208,084e6e|B.1.1.208,084e6e|B.1.1.208,084e6e|B.1.1.208,084e6e|B.1.1.208,084e6e|B.1.1.208,084e6e|B.1.1.208,084e6e|B.1.1.208
B.1.1.209,2add08|A_1,d03608|A_1,314ac8|A_1,e9bec7|A_1,baabaf|A_1,baabaf|A_1,baabaf|A_1,baabaf|A_1,65ec24|A_1,65ec24|A_1,65ec24|A_1
B.1.1.210,2add08|A_1,d03608|A_1,314ac8|A_1,e9bec7|A_1,baabaf|A_1,baabaf|A_1,baabaf|A_1,baabaf|A_1,65ec24|A_1,65ec24|A_1,65ec24|A_1
B.1.1.213,2add08|A_1,d03608|A_1,314ac8|A_1,,,,,,,,
B.1.1.214,2add08|A_1,d03608|A_1,314ac8|A_1,e9bec7|A_1,baabaf|A_1,baabaf|A_1,baabaf|A_1,baabaf|A_1,65ec24|A_1,65ec24|A_1,65ec24|A_1
